Minute,Team1 Gold,Team2 Gold,Winning Team
0,7000,7000,Team2
1,7015,7795,Team2
2,9909,10997,Team2
3,13080,15292,Team2
4,16814,18525,Team2
5,20605,22132,Team2
6,25334,25524,Team2
7,28718,29165,Team2
8,31819,32400,Team2
9,34888,36157,Team2
10,38774,39134,Team2
11,42068,42191,Team2
12,44858,45969,Team2
13,48748,48740,Team2
14,51283,52120,Team2
15,54283,56478,Team2
16,59163,58806,Team2
17,61842,62539,Team2
18,65249,68135,Team2
19,68168,70584,Team2
20,70543,74423,Team2
21,73984,78967,Team2
21,74299,79500,Team2
0,2500,2500,Team2
1,2500,2500,Team2
2,2866,2865,Team2
3,4420,4526,Team2
4,5990,6919,Team2
5,7660,8291,Team2
6,9262,9715,Team2
7,10988,11454,Team2
8,12239,13124,Team2
9,13757,15006,Team2
10,16045,16086,Team2
11,17358,18342,Team2
12,18833,20148,Team2
13,21114,21396,Team2
14,23530,23664,Team2
15,24969,25419,Team2
16,26767,29183,Team2
17,28461,31648,Team2
18,29673,34808,Team2
19,31602,37063,Team2
20,33054,38768,Team2
21,34569,41612,Team2
22,36247,42929,Team2
23,37853,45119,Team2
23,38448,49474,Team2
0,2500,2500,Team2
1,2500,2500,Team2
2,2813,2957,Team2
3,4427,4728,Team2
4,5936,6106,Team2
5,7369,7659,Team2
6,8910,9294,Team2
7,10996,10747,Team2
8,12497,11960,Team2
9,14232,13539,Team2
10,16158,15245,Team2
11,18160,17395,Team2
12,19706,19547,Team2
13,20675,22068,Team2
14,22451,23928,Team2
15,24029,25382,Team2
16,26849,29486,Team2
17,28275,31732,Team2
18,31011,35687,Team2
19,32671,37679,Team2
20,34527,39593,Team2
21,35821,40961,Team2
22,37894,43129,Team2
23,39276,44538,Team2
24,41635,47117,Team2
25,43035,49106,Team2
25,43489,52706,Team2
0,2500,2500,Team2
1,2500,2500,Team2
2,2815,2865,Team2
3,4205,4848,Team2
4,6945,6821,Team2
5,8372,8286,Team2
6,10577,9503,Team2
7,12155,12556,Team2
8,14675,13840,Team2
9,16633,15447,Team2
10,18273,16870,Team2
11,20035,18329,Team2
12,22012,20423,Team2
13,24403,22012,Team2
14,27607,24597,Team2
15,29357,26212,Team2
16,31059,29984,Team2
17,32699,31586,Team2
18,34593,33354,Team2
19,36281,35046,Team2
20,38659,37475,Team2
21,40112,39046,Team2
22,40880,41693,Team2
23,42880,43835,Team2
24,44851,45912,Team2
25,46502,47499,Team2
26,47784,51548,Team2
27,49995,52880,Team2
28,55435,54653,Team2
29,56714,56947,Team2
30,58318,58547,Team2
31,59829,60405,Team2
32,61612,64662,Team2
33,63291,67675,Team2
34,64510,70054,Team2
35,65992,73121,Team2
36,67794,75588,Team2
37,69682,76846,Team2
38,70928,80669,Team2
39,72681,83607,Team2
40,73621,87399,Team2
40,73748,88122,Team2
0,2500,2500,Team2
1,2505,2500,Team2
2,2874,2911,Team2
3,4485,4610,Team2
4,6754,5967,Team2
5,8125,7574,Team2
6,9673,9167,Team2
7,11547,11621,Team2
8,12898,13978,Team2
9,14496,16345,Team2
10,16626,17970,Team2
11,18938,19691,Team2
12,21002,21561,Team2
13,22729,24018,Team2
14,25119,27529,Team2
15,26617,29592,Team2
16,29458,32796,Team2
17,31973,34456,Team2
18,33451,36020,Team2
19,35988,38610,Team2
20,37832,39876,Team2
21,40754,42783,Team2
22,41649,45923,Team2
23,43109,48688,Team2
24,44810,50452,Team2
25,45682,52621,Team2
26,47215,55517,Team2
27,48497,56969,Team2
28,49974,59485,Team2
29,51900,60489,Team2
30,53520,64040,Team2
30,53536,64057,Team2
0,2500,2500,Team2
1,2505,2500,Team2
2,2777,2825,Team2
3,4839,5188,Team2
4,6082,6904,Team2
5,7656,8368,Team2
6,9218,9885,Team2
7,10811,11682,Team2
8,12774,13143,Team2
9,14762,14601,Team2
10,16513,15758,Team2
11,18285,18330,Team2
12,21184,20180,Team2
13,23665,22039,Team2
14,25618,24366,Team2
15,27112,27041,Team2
16,28677,29810,Team2
17,30616,31247,Team2
18,32738,33038,Team2
19,34847,35414,Team2
20,37196,37783,Team2
21,38235,39637,Team2
22,42385,42060,Team2
23,44604,43376,Team2
24,46761,45721,Team2
25,48258,47833,Team2
26,49486,50382,Team2
27,51911,52255,Team2
28,53577,54107,Team2
29,55399,57166,Team2
30,57203,58789,Team2
31,58590,62031,Team2
31,59946,64256,Team2
0,2500,2500,Team2
1,2500,2500,Team2
2,3378,2902,Team2
3,5051,4736,Team2
4,6832,5801,Team2
5,9028,7724,Team2
6,10481,9201,Team2
7,12475,11878,Team2
8,14149,13684,Team2
9,16340,15816,Team2
10,18004,18542,Team2
11,19859,20819,Team2
12,22174,23619,Team2
13,24008,25143,Team2
14,26088,27976,Team2
15,27926,29741,Team2
16,29548,31645,Team2
17,32033,34015,Team2
18,34147,37122,Team2
19,35582,40136,Team2
20,36921,42266,Team2
21,40294,44603,Team2
22,42119,46495,Team2
23,43771,48675,Team2
24,44893,50638,Team2
24,45383,53692,Team2
0,2500,2500,Team2
1,2500,2500,Team2
2,2886,2865,Team2
3,4875,4898,Team2
4,6428,6497,Team2
5,8113,7972,Team2
6,9316,9475,Team2
7,10872,11816,Team2
8,11984,13937,Team2
9,13902,16333,Team2
10,15239,17812,Team2
11,17002,21080,Team2
12,18233,22663,Team2
13,19509,24985,Team2
14,21549,27317,Team2
15,23988,29554,Team2
16,25049,32108,Team2
17,26685,34168,Team2
18,28750,36837,Team2
19,30955,39257,Team2
20,31981,42786,Team2
21,34764,44194,Team2
22,36078,46393,Team2
23,39424,49081,Team2
24,42066,50340,Team2
25,44030,54040,Team2
